angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(443, 253, 386, 386)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(444, 253, 385, 385)",0.0,0.01,0.0,0.98,0.0,0.0
0.0,"(444, 256, 379, 379)",0.0,0.02,0.0,0.97,0.01,0.0
0.01,"(446, 257, 377, 377)",0.0,0.04,0.0,0.94,0.01,0.01
0.0,"(446, 258, 377, 377)",0.0,0.03,0.0,0.94,0.01,0.01
0.01,"(449, 259, 376, 376)",0.0,0.05,0.0,0.92,0.01,0.01
0.0,"(448, 256, 380, 380)",0.0,0.02,0.0,0.97,0.01,0.0
0.0,"(450, 256, 379, 379)",0.0,0.02,0.0,0.97,0.01,0.0
0.01,"(451, 255, 378, 378)",0.0,0.03,0.0,0.95,0.01,0.0
0.01,"(451, 255, 379, 379)",0.0,0.02,0.0,0.96,0.0,0.0
0.01,"(451, 255, 379, 379)",0.0,0.02,0.0,0.96,0.0,0.0
0.0,"(448, 255, 380, 380)",0.0,0.02,0.0,0.96,0.01,0.0
0.01,"(445, 254, 382, 382)",0.0,0.02,0.0,0.96,0.01,0.0
0.0,"(476, 259, 371, 371)",0.0,0.02,0.0,0.97,0.0,0.0
0.0,"(477, 258, 371, 371)",0.0,0.02,0.0,0.96,0.01,0.0
0.0,"(453, 254, 378, 378)",0.0,0.02,0.0,0.97,0.0,0.0
0.0,"(452, 255, 377, 377)",0.0,0.01,0.0,0.98,0.01,0.0
